In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=C
In config file: ACTIONS_R1=C
In config file: ACTIONS_R2=F,C,1,A
In config file: ACTIONS_R3=F,C,1,A
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 5.
1:BR,Player:0f:3h6c,3dTh|:50,-50(50.000000)
2:Player,BR:0cc/cc/cr200f:4d7h,2h7s|/5s5h9c/Ts:-100,100(-100.000000)
3:BR,Player:0r200c/cr390c/cc/cc:7h9c,2dKh|/3c7sTs/5h/5d:690,-690(690.000000)
4:Player,BR:0cc/cc/cr200c/cr19700f:4cQs,2s6h|/4h7d8s/2c/9c:-300,300(-300.000000)
5:BR,Player:0cc/cc/r200c/cr390r1380c:7dQh,2dJc|/8cQcAd/3c/5c:-2070,2070(-2070.000000)
6:Player,BR:0cr200c/r390c/r897r3174f:JhQs,ThKc|/2h3h7d/7h:-1587,1587(-1587.000000)
7:BR,Player:0r130c/cc/r460f:7c8d,4s4d|/2h6s7s/Ad:230,-230(230.000000)
8:Player,BR:0cc/cc/cr200f:3sKd,5c7c|/ThQhAh/6h:-100,100(-100.000000)
9:BR,Player:0r200c/cc/r600c/cc:3d6h,7h9c|/2cJsQd/7d/Jh:-900,900(-900.000000)
10:Player,BR:0cc/cc/cr200f:3cTs,4h8s|/7d9dKs/7s:-100,100(-100.000000)
11:BR,Player:0cc/cr130c/r460f:2hAh,9cTd|/6cJsAd/Ks:230,-230(230.000000)
12:Player,BR:0cr200c/cc/cr600f:JdKs,4h8h|/4d5d8s/Qc:-300,300(-300.000000)
13:BR,Player:0cc/cc/r19900f:JcKs,2hJs|/2d4dAd/7c:100,-100(100.000000)
14:Player,BR:0cr600c/cc/r140c/cr19160f:JcQs,4sKc|/5d5cJh/Ts/6h:-840,840(-840.000000)
15:BR,Player:0cc/cc/cc/r19900f:3cQd,4c5d|/2dJsKs/2c/6d:100,-100(100.000000)
16:Player,BR:0cr130c/cc/cc/cr460c:4s4d,3c5c|/5d6dTh/9d/Jc:-690,690(-458.106438)
17:BR,Player:0cc/cr130c/cr460c/cc:9sQc,4h9d|/2h8cJh/Jd/2c:690,-690(626.745886)
18:Player,BR:0cc/cc/cc/cr200f:8hJs,5s6s|/2sThAc/Qc/5h:-100,100(-100.000000)
19:BR,Player:0r130c/cc/cr460r1380f:6cAh,7c8c|/4d9hKc/Jd:690,-690(690.000000)
20:Player,BR:0cc/cc/cc/r130r19770f:4dTh,2d7s|/5d8cQc/7c/5h:-230,230(-230.000000)
21:BR,Player:0r200c/cc/r600c/cr1170r17930f:8sTd,7hKs|/4s6s8h/9h/4c:2070,-2070(2070.000000)
22:Player,BR:0cc/cc/r130c/cr460f:3d5c,4dAh|/2s6cAd/2h/7h:-230,230(-230.000000)
23:BR,Player:0r130c/cr460c/r1380f:7hKh,3s5d|/7cTsKd/8c:690,-690(690.000000)
24:Player,BR:0cr200c/cc/cc/r150f:7cAh,ThKc|/4s5hJd/6h/3s:300,-300(300.000000)
25:BR,Player:0cc/cr130c/r460c/r1380c:9hAh,2sAs|/2c5dAc/Ts/Ks:-2070,2070(-221.984354)
26:Player,BR:0cc/cc/cr200c/cr19700f:4hKs,6s8c|/5dQhQc/Kc/Th:-300,300(-300.000000)
27:BR,Player:0r130c/cr299c/cc/cc:ThAd,7hTs|/6h8dQc/6c/Kd:529,-529(-27.840306)
28:Player,BR:0cr300c/cc/r200c/r120r19280f:8hKh,6d7h|/3cTdAd/Kc/Jd:-720,720(-720.000000)
29:BR,Player:0r200c/cc/cr900c/cc:4cKd,3dJd|/2c5hAh/2d/9d:1200,-1200(1143.217918)
30:Player,BR:0cc/cc/cc/cr200c:5hKh,4cQc|/4h5c6s/8h/Qs:-300,300(-282.911988)
31:BR,Player:0cc/cr200c/cr390c/r1380f:9hQh,3c6h|/4cThTd/5s/Jh:690,-690(690.000000)
32:Player,BR:0cc/cc/cc/r130c:5cQs,2hKs|/4s6dTd/Ts/5s:230,-230(16.080130)
33:BR,Player:0r200c/cc/r600c/cc:7cQs,5d8c|/2c8s9c/4h/Ts:-900,900(-900.000000)
34:Player,BR:0cr600c/r4200c/r14700r400c/cc:JhQs,4sKh|/3s5h8s/Td/6s:-20000,20000(-18284.103973)
35:BR,Player:0r130c/cc/cc/r460f:6dKs,9hTd|/7c9sTs/8c/7s:230,-230(230.000000)
36:Player,BR:0cc/cc/cc/cr200c:4dJh,ThAc|/2s2dJd/6d/Kh:300,-300(9.447148)
37:BR,Player:0cc/cc/r200f:9sAc,6sJc|/5c9cQd/2d:100,-100(100.000000)
38:Player,BR:0cc/cc/cr200c/cr600r1800r17300f:JsKd,5c9c|/3s8hKs/Kc/Td:-2700,2700(-2700.000000)
39:BR,Player:0r130c/cc/r460f:7h7c,4c6c|/3s9sJh/2s:230,-230(230.000000)
40:Player,BR:0cr300c/cc/r2400r5600r10920r680c/cc:JsJh,4dQh|/4sJdQs/6d/Tc:20000,-20000(-5167.272998)
41:BR,Player:0r130c/cc/r19770f:6cJh,5c8s|/2d3s5h/Ts:230,-230(230.000000)
42:Player,BR:0cr200c/cc/cc/cc:ThKd,2h7c|/9dQcAc/6s/5c:300,-300(300.000000)
43:BR,Player:0f:QcAc,2dJs|:50,-50(50.000000)
44:Player,BR:0cr200c/r390c/cc/cc:7s8c,KcAc|/5s5cTs/Ks/2s:690,-690(-211.220276)
45:BR,Player:0r130c/cr299c/r1058f:QdAh,6cTh|/3dAsAc/8h:529,-529(529.000000)
46:Player,BR:0cc/cc/cr200c/cr600f:5cKs,7d8h|/TcQcAh/Ac/3d:-300,300(-300.000000)
47:BR,Player:0r130c/cc/r19770f:3s4c,9cKh|/2d2c3c/7h:230,-230(230.000000)
48:Player,BR:0cr200c/r390c/r345r18965f:6dKc,5cKs|/2c7hQc/5d:-1035,1035(-1035.000000)
49:BR,Player:0r130c/cc/r460c/r19310c:4sJs,8dKc|/2d8cQd/Jh/2h:20000,-20000(15032.142900)
50:Player,BR:0cc/cc/cc/cr200r390c:7dQs,8sQc|/9h9dJh/5h/Ts:-690,690(-655.573199)
51:BR,Player:0cc/cr130c/r460f:3s9c,6h7d|/2s4sKc/Td:230,-230(230.000000)
52:Player,BR:0cc/cc/cc/cc:6cJc,4c5c|/3d8c9h/Ks/Qc:100,-100(91.592991)
53:BR,Player:0r130c/cr299c/cc/r19471f:5d8s,9sTs|/4hTdAc/8c/Jh:529,-529(529.000000)
54:Player,BR:0cr300c/cc/r200c/r300r1800f:7d8d,3sTd|/4dJsAh/Jh/3d:-900,900(-900.000000)
55:BR,Player:0r200c/cc/r600c/r19100f:5cTd,KhKd|/JcQdAd/Ks/8c:900,-900(900.000000)
56:Player,BR:0cc/cc/cr200c/cr19700f:6sQh,4s8c|/3cJcQc/Js/Ks:-300,300(-300.000000)
57:BR,Player:0r130c/cr690c/cc/r1840f:2d7h,2c5c|/4c7sTs/8c/2h:920,-920(920.000000)
58:Player,BR:0cc/cc/cc/r130r460f:6dAh,TdJh|/5h9s9h/7c/5c:-230,230(-230.000000)
59:BR,Player:0r130c/cr299c/cc/cr687r18784c:2c3d,6s7c|/4h6c7s/Js/7d:-20000,20000(-20000.000000)
60:Player,BR:0cr200c/cc/cr19700f:ThAs,3c4h|/4d4cKs/Qc:-300,300(-300.000000)
61:BR,Player:0r130c/cc/r19770f:5d7c,KcAd|/6s8s9c/Ah:230,-230(230.000000)
62:Player,BR:0cc/r130c/r460f:3cTh,4c6d|/3s3dJh/Qh:230,-230(230.000000)
63:BR,Player:0r200c/cc/r600f:6cAc,6sKc|/2sQsAh/7c:300,-300(300.000000)
64:Player,BR:0cc/cc/r200r600c/cr1800c:2sAh,3dKc|/3h5h5c/3c/Kd:-2700,2700(-2700.000000)
65:BR,Player:0r200c/cc/r600c/r19100f:7s9h,7hJc|/5c6h7c/6s/2s:900,-900(900.000000)
66:Player,BR:0cr300c/r520c/cc/cr19080f:5hQh,2s4s|/8dJhQs/Ah/Ks:-920,920(-920.000000)
67:BR,Player:0cc/cr130c/cr299c/r1058f:4sKs,5hAc|/3cJsJh/Jc/2h:529,-529(529.000000)
68:Player,BR:0cr300c/cc/r200c/r300c:6d6c,5cAc|/3h5h8d/7h/8c:900,-900(87.005224)
69:BR,Player:0r300c/cc/r800c/cr2400f:8hTd,7dTh|/4s6h9h/6d/8c:-1200,1200(-1200.000000)
70:Player,BR:0cr200c/cc/r150c/r585f:4sAs,3cTd|/2hKhAh/Js/3d:450,-450(450.000000)
71:BR,Player:0r130c/cc/r460f:9cTc,6cQc|/6h7s9h/2s:230,-230(230.000000)
72:Player,BR:0cr300c/cc/cc/cc:5hQh,JcAd|/3c5s9s/2c/8h:400,-400(61.928428)
73:BR,Player:0r130c/cc/cc/cc:9hQd,JcQh|/2c8cKs/3c/5h:-230,230(-209.641501)
74:Player,BR:0cc/cc/cr19900f:2hJs,ThTc|/3c4dTs/8h:-100,100(-100.000000)
75:BR,Player:0r200c/cr390c/r1380f:9cTc,2sQc|/3s4hTd/7h:690,-690(690.000000)
76:Player,BR:0cc/cc/r200c/cr19700f:6hTd,6cAs|/5s8h8d/4d/9c:-300,300(-300.000000)
77:BR,Player:0f:4d5d,3h9d|:50,-50(50.000000)
78:Player,BR:0cc/cc/r130r460c/cc:9sKc,3dTc|/7c8d9d/4s/9c:690,-690(690.000000)
79:BR,Player:0r130c/cc/cc/r460c:5h6c,4cQd|/9hThKh/9c/7d:-690,690(-690.000000)
80:Player,BR:0cc/cc/cc/cr200f:3sQd,8cQs|/6hThAd/Js/9d:-100,100(-100.000000)
81:BR,Player:0r130c/cc/r19770f:5cJc,6h8h|/5h6sTc/5s:230,-230(230.000000)
82:Player,BR:0cc/cc/cc/r130c:3s8s,2sQd|/2d5cTd/Ks/Tc:-230,230(49.698846)
83:BR,Player:0f:4h8d,3c9d|:50,-50(50.000000)
84:Player,BR:0cc/cc/r130r19770f:3dQh,5sAd|/6cTcQd/5h:-230,230(-230.000000)
85:BR,Player:0r130c/cc/r460f:8dTh,3sKd|/6h8cAc/Ts:230,-230(230.000000)
86:Player,BR:0cr300c/cc/cr19600f:7cKs,3d7d|/6c8dJh/As:-400,400(-400.000000)
87:BR,Player:0r130c/cc/cc/cc:4c7c,2d3d|/3h9cTd/Ah/Qh:-230,230(-230.000000)
88:Player,BR:0cr300c/cc/r800r2400c/cc:8cTc,2cQc|/3c7s7d/9c/Ad:-3600,3600(2259.350883)
89:BR,Player:0r200c/cc/cc/r600f:4h9s,TsAh|/3d8hKc/Qh/6s:300,-300(300.000000)
90:Player,BR:0cr200c/r390c/r897c/cc:JdQs,3d4d|/2c4cTc/Ks/Td:-1587,1587(-1558.120967)
91:BR,Player:0r300c/cr520c/cr1840c/cr3588c:9hTd,TcJc|/6d6cAh/9d/Qc:6348,-6348(1862.045377)
92:Player,BR:0cc/cc/cc/cr200f:3hJd,8dTc|/4h7cKs/Qs/8h:-100,100(-100.000000)
93:BR,Player:0r130c/cc/r19770f:8c9d,4cAs|/2h4sAh/Qh:230,-230(230.000000)
94:Player,BR:0cc/cc/cc/cc:8cQd,3hTs|/3d6sAd/Jh/7d:-100,100(-42.079957)
95:BR,Player:0cc/cc/r19900f:5c9d,9sKd|/6d7hTs/2d:100,-100(100.000000)
96:Player,BR:0cc/cc/cr200r390r1380f:8cKh,7dJc|/5h7hJs/6s:-690,690(-690.000000)
97:BR,Player:0r130c/cr299c/cr687r2432f:5sJd,5cKh|/2d6h7s/8d:1216,-1216(1216.000000)
